ENDEKSA_IL,ENDEKSA_IL_AD,ENDEKSA_ILCE,ENDEKSA_ILCE_AD,LATLOT,SLUG
1,Adana,1104,Seyhan,[35.2161509947605, 36.9397025066729],adana-seyhan
1,Adana,1219,Ceyhan,[35.8403242669707, 37.0650712550238],adana-ceyhan
1,Adana,1329,Feke,[35.8289130777097, 37.8755572966562],adana-feke
1,Adana,1437,Karaisalı,[35.1607377429926, 37.3012283528413],adana-karaisali
1,Adana,1443,Karataş,[35.2871056529782, 36.6725105284352],adana-karatas
1,Adana,1580,Pozantı,[34.913986818745, 37.495454975674],adana-pozanti
1,Adana,1588,Saimbeyli,[36.1150794127415, 37.9541646331803],adana-saimbeyli
1,Adana,1734,Yumurtalık,[35.5559214145504, 36.7321295],adana-yumurtalik
1,Adana,1748,Yüreğir,[35.4307278164036, 36.8555055598243],adana-yuregir
1,Adana,1757,Aladağ,[35.3231315403307, 37.572253337422],adana-aladag
1,Adana,1806,İmamoğlu,[35.5907441808832, 37.2980724827402],adana-imamoglu
1,Adana,2032,Sarıçam,[35.4753623714284, 37.1079846783322],adana-saricam
1,Adana,2033,Çukurova,[35.1817494205908, 37.0904845830017],adana-cukurova
1,Adana,9999,Adana Il Geneli,,Adana Il Geneli
2,Adıyaman,1105,Adıyaman Merkez,[38.2583464907557, 37.7523025982164],adiyaman-adiyaman-merkez
2,Adıyaman,1182,Besni,[37.8815677252132, 37.604924631302],adiyaman-besni
2,Adıyaman,1246,Çelikhan,[38.2515042406, 38.0616009355887],adiyaman-celikhan
2,Adıyaman,1347,Gerger,[39.0159897246076, 38.0278992379526],adiyaman-gerger
2,Adıyaman,1354,Gölbaşı,[37.6260910512254, 37.7753360010981],adiyaman-golbasi
2,Adıyaman,1425,Kahta,[38.6971897888496, 37.7934957112238],adiyaman-kahta
2,Adıyaman,1592,Samsat,[38.4725839027453, 37.5669634310338],adiyaman-samsat
2,Adıyaman,1985,Sincik,[38.5565411160275, 38.0386299163481],adiyaman-sincik
2,Adıyaman,1989,Tut,[37.9473092132226, 37.802725428452],adiyaman-tut
3,Afyonkarahisar,1108,Afyonkarahisar Merkez,[30.5608769624319, 38.7746533023343],afyonkarahisar-afyonkarahisar-merkez
3,Afyonkarahisar,1200,Bolvadin,[31.1127046836281, 38.7655389244406],afyonkarahisar-bolvadin
3,Afyonkarahisar,1239,Çay,[30.9399226964628, 38.5234994946616],afyonkarahisar-cay
3,Afyonkarahisar,1267,Dazkırı,[29.8040949417523, 37.9259173682944],afyonkarahisar-dazkiri
3,Afyonkarahisar,1281,Dinar,[30.2711563079913, 38.1603973248322],afyonkarahisar-dinar
3,Afyonkarahisar,1306,Emirdağ,[31.3046053153599, 39.0102490047252],afyonkarahisar-emirdag
3,Afyonkarahisar,1404,İhsaniye,[30.4588082160653, 39.0474709415603],afyonkarahisar-ihsaniye
3,Afyonkarahisar,1594,Sandıklı,[30.1801538091546, 38.462678388357],afyonkarahisar-sandikli
3,Afyonkarahisar,1626,Sinanpaşa,[30.2410426719939, 38.7483816762375],afyonkarahisar-sinanpasa
3,Afyonkarahisar,1639,Sultandağı,[31.3638631292479, 38.6220737673404],afyonkarahisar-sultandagi
3,Afyonkarahisar,1664,Şuhut,[30.582337631334, 38.4533440197856],afyonkarahisar-suhut
3,Afyonkarahisar,1771,Başmakçı,[30.0118418316427, 37.8725342087136],afyonkarahisar-basmakci
3,Afyonkarahisar,1773,Bayat,[30.9129093670735, 39.0042679775138],afyonkarahisar-bayat
3,Afyonkarahisar,1809,İscehisar,[30.7630017284697, 38.920386809187],afyonkarahisar-iscehisar
3,Afyonkarahisar,1906,Çobanlar,[30.843914336927, 38.7397216091288],afyonkarahisar-cobanlar
3,Afyonkarahisar,1923,Evciler,[29.9260689229279, 38.0520712991219],afyonkarahisar-evciler
3,Afyonkarahisar,1944,Hocalar,[29.963321593307, 38.6030640138191],afyonkarahisar-hocalar
3,Afyonkarahisar,1961,Kızılören,[30.1664979861673, 38.2570079723376],afyonkarahisar-kiziloren
4,Ağrı,1111,Ağrı Merkez,[43.1460343091888, 39.8060668471853],agri-agri-merkez
4,Ağrı,1283,Diyadin,[43.6243754328766, 39.4378828543144],agri-diyadin
4,Ağrı,1287,Doğubayazıt,[44.0601092980836, 39.5734689871156],agri-dogubayazit
4,Ağrı,1301,Eleşkirt,[42.6390312111159, 39.8140554203246],agri-eleskirt
4,Ağrı,1379,Hamur,[43.0802577810415, 39.4638688686823],agri-hamur
4,Ağrı,1568,Patnos,[42.8900915868116, 39.1684989091296],agri-patnos
4,Ağrı,1667,Taşlıçay,[43.4052205513582, 39.623311476826],agri-taslicay
4,Ağrı,1691,Tutak,[42.6996624514655, 39.5090041150701],agri-tutak
5,Amasya,1134,Amasya Merkez,[35.8791745345713, 40.6151087841304],amasya-amasya-merkez
5,Amasya,1363,Göynücek,[35.5331247097016, 40.3972543343019],amasya-goynucek
5,Amasya,1368,Gümüşhacıköy,[35.1914425012222, 40.8982438780623],amasya-gumushacikoy
5,Amasya,1524,Merzifon,[35.4297063597943, 40.8329665391151],amasya-merzifon
5,Amasya,1641,Suluova,[35.7015287420367, 40.7912853512459],amasya-suluova
5,Amasya,1668,Taşova,[36.2587906141199, 40.7883587133997],amasya-tasova
5,Amasya,1938,Hamamözü,[35.071162194622, 40.7884816202107],amasya-hamamozu
6,Ankara,1130,Altındağ,[32.9788647317967, 39.9993854982744],ankara-altindag
6,Ankara,1157,Ayaş,[32.2807430934304, 40.0124629002413],ankara-ayas
6,Ankara,1167,Bala,[33.175164061879, 39.4533939078988],ankara-bala
6,Ankara,1187,Beypazarı,[31.9177421841502, 40.1456903096528],ankara-beypazari
6,Ankara,1227,Çamlıdere,[32.3508590053003, 40.4736744051439],ankara-camlidere
6,Ankara,1231,Çankaya,[32.8869244611336, 39.8145074386206],ankara-cankaya
6,Ankara,1260,Çubuk,[33.0321183598385, 40.3139658710641],ankara-cubuk
6,Ankara,1302,Elmadağ,[33.22103902021, 39.8898828772083],ankara-elmadag
6,Ankara,1365,Güdül,[32.231329307404, 40.2299034645453],ankara-gudul
6,Ankara,1387,Haymana,[32.5378637983594, 39.2879283484167],ankara-haymana
6,Ankara,1427,Kalecik,[33.4331371608274, 40.1956517894519],ankara-kalecik
6,Ankara,1473,Kızılcahamam,[32.6436610807991, 40.4821969959336],ankara-kizilcahamam
6,Ankara,1539,Nallıhan,[31.3224053993441, 40.1750538433158],ankara-nallihan
6,Ankara,1578,Polatlı,[32.1154486942216, 39.4556849982086],ankara-polatli
6,Ankara,1658,Şereflikoçhisar,[33.49736416075, 38.9732083445587],ankara-sereflikochisar
6,Ankara,1723,Yenimahalle,[32.7262146911625, 40.0126163877888],ankara-yenimahalle
6,Ankara,1744,Gölbaşı,[32.7865722395387, 39.5767058176591],ankara-golbasi
6,Ankara,1745,Keçiören,[32.8289302950827, 40.0656839899633],ankara-kecioren
6,Ankara,1746,Mamak,[33.0334412875748, 39.9031815035928],ankara-mamak
6,Ankara,1747,Sincan,[32.4507994356329, 39.8489884789535],ankara-sincan
6,Ankara,1815,Kahramankazan,[32.6716043699491, 40.1968784821595],ankara-kahramankazan
6,Ankara,1922,Etimesgut,[32.6117148952133, 39.8594796954415],ankara-etimesgut
6,Ankara,1924,Evren,[33.7355143274156, 39.0406043931702],ankara-evren
6,Ankara,2034,Pursaklar,[32.8888003312664, 40.1073349635682],ankara-pursaklar
6,Ankara,9994,Ankara Il Geneli,,Ankara Il Geneli
7,Antalya,1121,Akseki,[31.8304281753231, 37.0629177849307],antalya-akseki
7,Antalya,1126,Alanya,[32.1215520561216, 36.5977268271746],antalya-alanya
7,Antalya,1303,Elmalı,[29.9314049075178, 36.7145536062059],antalya-elmali
7,Antalya,1333,Finike,[30.0729679308268, 36.4454285896491],antalya-finike
7,Antalya,1337,Gazipaşa,[32.4627316714707, 36.3097830314242],antalya-gazipasa
7,Antalya,1370,Gündoğmuş,[32.122707046957, 36.7949796996823],antalya-gundogmus
7,Antalya,1451,Kaş,[29.6168536030107, 36.3671131054275],antalya-kas
7,Antalya,1483,Korkuteli,[30.1633684242687, 37.0638912932028],antalya-korkuteli
7,Antalya,1492,Kumluca,[30.3143154289163, 36.5189108468659],antalya-kumluca
7,Antalya,1512,Manavgat,[31.3604968057821, 37.0283126611177],antalya-manavgat
7,Antalya,1616,Serik,[31.0190968200957, 37.0855668336294],antalya-serik
7,Antalya,1811,Demre,[29.9401223274661, 36.2897782569674],antalya-demre
7,Antalya,1946,İbradı,[31.5074452095757, 37.1445425388067],antalya-ibradi
